Attraction Name,Latitude,Longitude,State,Type,Weather,Temperature
The Adventure Company,38.81307890000001,-106.105892,Colorado,point_of_interest,Mostly Cloudy,18.0
Detroit Rolling Pub,42.33686369999999,-83.05551539999999,Michigan,establishment,Partly Cloudy,29.0
Nightly Spirits,39.747916,-105.0002699,Colorado,point_of_interest,Slight Chance Light Snow then Patchy Freezing Drizzle,27.0
ROAM East Zion,37.27784210000001,-112.6292508,Utah,point_of_interest,Partly Cloudy,24.0
NYC Park Tours™ | Central Park Tours,40.7671773,-73.980294,New York,point_of_interest,Mostly Clear,33.0
Unexpected Atlanta Walking Tours,33.748752,-84.38768449999999,Georgia,political,Clear,31.0
Brazos Tours,31.5542435,-97.1479483,Texas,point_of_interest,Mostly Clear,38.0
YourBikerGang.com,30.2723123,-97.758223,Texas,point_of_interest,Mostly Clear,41.0
North End Boston Food Tour,42.3626899,-71.0553458,Massachusetts,point_of_interest,Mostly Clear,31.0
The Magic Shuttle Bus,44.774717,-85.64295729999999,Michigan,point_of_interest,Mostly Cloudy then Chance Snow Showers And Patchy Blowing Snow,30.0
Cal Coast Adventures,34.4192538,-119.6786292,California,point_of_interest,Partly Cloudy,47.0
Wild River Adventures - Day Tours,48.48198259999999,-113.9997618,Montana,point_of_interest,Areas Of Fog,25.0
Coastal Cruises,27.7561885,-82.7326325,United States,point_of_interest,Partly Cloudy,54.0
Delicious Denver Food Tours,39.7392358,-104.990251,Colorado,political,Slight Chance Light Snow then Patchy Freezing Drizzle,27.0
Grand Canyon Adventures,35.1951337,-111.6570786,Arizona,point_of_interest,Cloudy,20.0
Rising Tide Explorers,25.9846776,-81.7044677,Florida,point_of_interest,Partly Cloudy,53.0
Utah Outdoor Adventures,40.677869,-111.51313,Utah,park,Mostly Cloudy,18.0
Maui Surfer Girls,20.8571868,-156.5028791,Hawaii,point_of_interest,Mostly Clear,68.0
Savannah Bonaventure Dash Tours,32.0808989,-81.091203,Georgia,political,Clear,38.0
Parasail Siesta,27.252066,-82.5344372,Florida,point_of_interest,Partly Cloudy,47.0
In2Scuba Diving Maui Dive Co.,20.9691923,-156.6763589,United States,point_of_interest,Mostly Clear,71.0
Bluewater Adventure,24.9156123,-80.6405966,United States,point_of_interest,Mostly Cloudy,66.0
Red E Bike Tours,36.1946809,-115.1857432,Nevada,point_of_interest,Partly Cloudy,44.0
Salt Marsh Safari The Skimmer,38.9488104,-74.90959629999999,New Jersey,point_of_interest,Mostly Clear,34.0
Anna Maria Island Dolphin Tours,27.5072005,-82.7135788,Florida,point_of_interest,Partly Cloudy,51.0
Adventure Paddle Tours,39.57815799999999,-106.088441,Colorado,point_of_interest,Mostly Cloudy,13.0
Aspen Whitewater Rafting,39.1874597,-106.8184593,Colorado,point_of_interest,Mostly Cloudy,18.0
Secret Food Tours New York City,40.7127753,-74.0059728,New York,political,Mostly Clear,33.0
The Swamp Park,33.9438955,-78.44760269999999,North Carolina,park,Clear,32.0
Experience NYC,40.7127753,-74.0059728,New York,political,Mostly Clear,33.0
"Whitewater Rafting, LLC",39.5598645,-107.3535564,Colorado,point_of_interest,Mostly Cloudy,22.0
All Seasons Adventures,40.659732,-111.501001,Utah,point_of_interest,Mostly Cloudy,22.0
Fired Up Fishing Charters,28.4082763,-80.6231552,Florida,point_of_interest,Partly Cloudy,59.0
Paddle Marco,25.9397412,-81.70753549999999,Florida,political,Partly Cloudy,55.0
Saltwater Pony Tours,37.90251540000001,-75.4052658,Virginia,point_of_interest,Mostly Clear,31.0
Secret Food Tours Las Vegas,36.171563,-115.1391009,Nevada,political,Partly Cloudy,42.0
Mica Moon Zip Tours,47.6718467,-117.0906474,Washington,point_of_interest,Areas Of Fog,32.0
Epic Adventure Rides,36.9016654,-111.4551283,Arizona,point_of_interest,Mostly Cloudy,28.0
Treasure Seekers Shell Tours,25.9219215,-81.64730349999999,Florida,point_of_interest,Partly Cloudy,57.0
A Boat Day,27.9743282,-82.80176569999999,Florida,point_of_interest,Partly Cloudy,50.0
Ali'i Air Tours & Charters,21.9819854,-159.3443768,Hawaii,point_of_interest,Chance Rain Showers,71.0
Satanic Salem Walking Tours,42.52068010000001,-70.8944956,United States,point_of_interest,Mostly Clear,31.0
SURFit USA,27.3090381,-82.56980759999999,Florida,point_of_interest,Partly Cloudy,48.0
Na Pali Pirates,21.9594028,-159.6917662,Hawaii,point_of_interest,Partly Cloudy,71.0
Sail Door County,45.1910049,-87.11959739999999,Wisconsin,point_of_interest,Mostly Cloudy,27.0
Gulf Coast Expeditions,28.8951849,-82.587277,Florida,point_of_interest,Partly Cloudy,37.0
Four Season Guides,35.1961781,-111.6203784,Arizona,point_of_interest,Cloudy,22.0
Black Hills Helicopters,43.9163972,-103.4420887,South Dakota,point_of_interest,Mostly Cloudy,21.0
Dallas Party Bike,32.787909,-96.7736525,Texas,point_of_interest,Mostly Clear,39.0
Canyon de Chelly Tours,36.1190734,-109.3197052,Arizona,park,Mostly Cloudy,27.0
IntraCoastal Experience - Destin Fishing Charter,30.3925946,-86.50414479999999,Florida,point_of_interest,Mostly Clear,43.0
Kauai Safaris,21.9707614,-159.391989,Hawaii,point_of_interest,,
Ocoee Rafting,35.0308556,-84.378267,Tennessee,point_of_interest,Clear,23.0
The Redneck Comedy Bus Tours - Branson,36.6436731,-93.2185144,Missouri,political,Clear,31.0
Outlaw Adventure Tours,38.575075,-109.5522863,Utah,point_of_interest,Mostly Cloudy,20.0
Suncoast Tours,27.1800229,-82.4912538,Florida,point_of_interest,Partly Cloudy,47.0
Canyon Ministries Grand Canyon Christian Tours,35.1886571,-111.6902579,Arizona,point_of_interest,Cloudy,17.0
Brazos Bluffs Ranch,31.6580603,-97.1447285,Texas,point_of_interest,Mostly Clear,36.0
Scenic Flights of Acadia,44.445967,-68.369143,Maine,point_of_interest,Mostly Clear,25.0
West Virginia Adventures,37.9248501,-81.16228869999999,West Virginia,establishment,Partly Cloudy,24.0
Babylon Tours New York City,40.7602536,-73.9649024,New York,point_of_interest,Mostly Clear,33.0
Undiscovered Charleston,32.7802349,-79.93468349999999,South Carolina,food,Clear,42.0
The Haunted Galena Tour Company,42.4142656,-90.429981,Illinois,point_of_interest,Mostly Clear,25.0
Leavenworth ZipLines,47.76771,-120.652965,United States,point_of_interest,Areas Of Fog,24.0
Kevo's Beach Bus,21.2874089,-157.8366441,Hawaii,point_of_interest,Mostly Clear,72.0
The Magic Merman Snorkel Charters,20.9211626,-156.6957074,Hawaii,point_of_interest,Mostly Clear,71.0
OBX Airplanes,35.917076,-75.70053089999999,North Carolina,point_of_interest,Mostly Clear,37.0
Empower Adventures Tampa Bay,28.027555,-82.658737,United States,point_of_interest,Partly Cloudy,48.0
The Real Portland Tour,43.6567582,-70.2505982,Maine,point_of_interest,Mostly Clear,29.0
Cville Hop on Tours,38.0261248,-78.4822094,Virginia,point_of_interest,Clear,26.0
Independent Whitewater,38.5765209,-106.081043,United States,point_of_interest,Mostly Cloudy,22.0
Coral Cliffs Tours of Kanab,37.0425944,-112.526761,Utah,point_of_interest,Mostly Cloudy,29.0
Skydive New England,43.3717536,-70.9245605,Maine,point_of_interest,Partly Cloudy,26.0
New Wave Adventures,63.74857160000001,-148.8994853,Alaska,point_of_interest,Chance Light Snow,-1.0
Gulf Angler Fishing Charters,30.3930657,-86.50426329999999,United States,point_of_interest,Mostly Clear,43.0
New York en francais,40.7127753,-74.0059728,New York,political,Mostly Clear,33.0
Daleys Adventure Boat Tours,43.4744219,-73.62620199999999,New York,point_of_interest,Partly Cloudy,26.0
Mobsters and Lobsters,42.1358375,-71.0003505,Massachusetts,point_of_interest,Mostly Clear,29.0
Bonaventure Don,32.0451691,-81.05069569999999,Georgia,establishment,Clear,39.0
Sight Sea-R Cruises,26.45746,-81.9430859,Florida,point_of_interest,Partly Cloudy,51.0
Charleston Black Cab Company,32.809569,-80.00442799999999,South Carolina,point_of_interest,Clear,36.0
Gulf Coast Kayak,26.6403671,-82.0558437,Florida,point_of_interest,Partly Cloudy,49.0
Indigo Creek Outfitters,42.2735238,-122.8147599,Oregon,point_of_interest,Partly Cloudy then Patchy Fog,36.0
Maui Bombers,20.7035285,-156.4302108,United States,point_of_interest,Mostly Clear,65.0
Seattle's Best Tours,47.6061389,-122.3328481,Washington,political,Mostly Cloudy,38.0
Amp'd Adventures,38.8782994,-104.8698717,Colorado,establishment,Mostly Cloudy,23.0
Islander Girl Snorkel &Tours,25.0022747,-80.53140839999999,United States,point_of_interest,Mostly Cloudy,65.0
Stick'n Rudder Aero Tours,41.68879889999999,-69.9922613,United States,point_of_interest,Mostly Clear,34.0
Cruisin' Tikis Key Largo,25.0942223,-80.4432544,Florida,point_of_interest,Mostly Cloudy,65.0
Laughlin Tours,35.1677771,-114.5730208,Nevada,political,Mostly Cloudy,50.0
Gunship Helicopters,36.1390752,-115.168641,United States,point_of_interest,Partly Cloudy,43.0
Aloha Brothers Surf Lessons,33.9889995,-118.466247,California,point_of_interest,Partly Cloudy,47.0
Charleston Fossil Adventures,32.7764749,-79.93105120000001,South Carolina,political,Clear,42.0
Nature's Discovery Manatee Tours,28.8951985,-82.5852003,Florida,point_of_interest,Partly Cloudy,37.0
Higher Pursuits,35.578871,-86.88132999999999,Tennessee,point_of_interest,Clear,27.0
SF Excursions,37.78625299999999,-122.460031,California,point_of_interest,Mostly Cloudy,49.0
Grand Canyon Journeys,34.8242319,-111.8176618,Arizona,point_of_interest,Mostly Cloudy,42.0
